"dataset","consumer","degree","degree_all_taxa","self_links","metrics","n_metrics","consumer_taxon_status","consumer_taxon_evidence"
"GloBI consumers","Kajikia audax",29,55,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Katsuwonus pelamis",9,58,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Konia eisentrauti",1,3,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Kuhlia sandvicensis",3,10,0,"ctmax;lt50",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Labroides dimidiatus",2,33,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Labrus bergylta",155,270,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Labrus mixtus",45,67,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lacerta agilis",2488,2542,1,"ctmax;ctmin",2,"animal","TetraEU terrestrial-vertebrate scope;TetraEU terrestrial-vertebrate scope;verified thermal-source taxonomy;verified thermal-source taxonomy"
"GloBI consumers","Lachnolaimus maximus",183,247,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lagodon rhomboides",78,246,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lampropeltis zonata",12,19,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lateolabrax japonicus",25,77,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lates calcarifer",18,55,1,"ctmax;ltmax",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lates niloticus",28,73,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Leiostomus xanthurus",153,417,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lepidiolamprologus elongatus",3,16,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lepidiolamprologus profundicola",2,6,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lepidonotothen squamifrons",16,98,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lepidopsetta bilineata",15,84,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lepisosteus osseus",64,92,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lepomis auritus",16,56,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lepomis cyanellus",4,20,0,"ctmax;ctmin",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lepomis gibbosus",1057,1301,0,"ctmax;ctmin",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lepomis gulosus",3,23,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lepomis macrochirus",81,145,0,"ctmax;lt50;ltmax",3,"animal","verified thermal-source taxonomy"
"GloBI consumers","Leptocottus armatus",49,133,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lethocerus americanus",11,38,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Leucaspius delineatus",362,432,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Leuciscus aspius",87,96,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Leuciscus idus",3,12,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Leuciscus leuciscus",615,754,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Limnothrissa miodon",14,50,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Linepithema humile",32,49,0,"ctmax;ctmin",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Liopsetta glacialis",13,34,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lipophrys pholis",83,139,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lipophrys trigloides",38,73,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Littorina littorea",61,88,0,"lt50",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Littorina saxatilis",38,51,0,"lt50",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lota lota",695,832,1,"ctmax;ctmin",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Lucania parva",142,231,0,"ctmax;lt50",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Luciobarbus guiraonis",2,12,0,"ctmax",1,"animal","verified thermal-source taxonomy"
